Sample,Population description,Superpopulation name
204,Vietnam,Southeast Asia
205,Vietnam,Southeast Asia
206,Vietnam,Southeast Asia
207,Vietnam,Southeast Asia
208,Vietnam,Southeast Asia
209,Vietnam,Southeast Asia
210,Vietnam,Southeast Asia
211,Vietnam,Southeast Asia
212,Vietnam,Southeast Asia
213,Vietnam,Southeast Asia
214,Vietnam,Southeast Asia
215,Vietnam,Southeast Asia
216,Vietnam,Southeast Asia
217,Vietnam,Southeast Asia
218,Vietnam,Southeast Asia
219,Vietnam,Southeast Asia
220,Vietnam,Southeast Asia
221,Vietnam,Southeast Asia
222,Vietnam,Southeast Asia
223,Vietnam,Southeast Asia
224,Vietnam,Southeast Asia
225,Vietnam,Southeast Asia
226,Vietnam,Southeast Asia
227,Vietnam,Southeast Asia
228,Vietnam,Southeast Asia
229,Vietnam,Southeast Asia
230,Vietnam,Southeast Asia
231,Vietnam,Southeast Asia
232,Vietnam,Southeast Asia
233,Vietnam,Southeast Asia
234,Vietnam,Southeast Asia
235,Vietnam,Southeast Asia
236,Vietnam,Southeast Asia
237,Vietnam,Southeast Asia
238,Vietnam,Southeast Asia
239,Vietnam,Southeast Asia
240,Vietnam,Southeast Asia
241,Vietnam,Southeast Asia
242,Vietnam,Southeast Asia
243,Vietnam,Southeast Asia
244,Vietnam,Southeast Asia
245,Vietnam,Southeast Asia
246,Vietnam,Southeast Asia
247,Vietnam,Southeast Asia
248,Vietnam,Southeast Asia
249,Vietnam,Southeast Asia
250,Vietnam,Southeast Asia
251,Vietnam,Southeast Asia
252,Vietnam,Southeast Asia
253,Vietnam,Southeast Asia
254,Vietnam,Southeast Asia
255,Vietnam,Southeast Asia
256,Vietnam,Southeast Asia
257,Vietnam,Southeast Asia
258,Vietnam,Southeast Asia
259,Vietnam,Southeast Asia
260,Vietnam,Southeast Asia
261,Vietnam,Southeast Asia
262,Vietnam,Southeast Asia
263,Vietnam,Southeast Asia
264,Vietnam,Southeast Asia
265,Indonesia,Southeast Asia
266,Indonesia,Southeast Asia
267,Indonesia,Southeast Asia
268,Indonesia,Southeast Asia
269,Philippines,Southeast Asia
270,Philippines,Southeast Asia
271,Malaysia,Southeast Asia
272,Philippines,Southeast Asia
273,Philippines,Southeast Asia
274,Philippines,Southeast Asia
275,Philippines,Southeast Asia
276,Philippines,Southeast Asia
277,Philippines,Southeast Asia
278,Philippines,Southeast Asia
279,Philippines,Southeast Asia
280,Philippines,Southeast Asia
281,Philippines,Southeast Asia
282,Philippines,Southeast Asia
283,Philippines,Southeast Asia
284,Philippines,Southeast Asia
285,Philippines,Southeast Asia
286,Philippines,Southeast Asia
287,Philippines,Southeast Asia
288,Philippines,Southeast Asia
289,Philippines,Southeast Asia
290,Philippines,Southeast Asia
291,Philippines,Southeast Asia
292,Philippines,Southeast Asia
293,Philippines,Southeast Asia
294,Philippines,Southeast Asia
295,Philippines,Southeast Asia
296,Philippines,Southeast Asia
297,Philippines,Southeast Asia
298,Philippines,Southeast Asia
299,Philippines,Southeast Asia
300,Philippines,Southeast Asia
301,Philippines,Southeast Asia
302,Philippines,Southeast Asia
303,Philippines,Southeast Asia
304,Philippines,Southeast Asia
305,Philippines,Southeast Asia
306,Philippines,Southeast Asia
307,Philippines,Southeast Asia
308,Philippines,Southeast Asia
309,Philippines,Southeast Asia
310,Philippines,Southeast Asia
311,Philippines,Southeast Asia
312,Philippines,Southeast Asia
313,Philippines,Southeast Asia
314,Philippines,Southeast Asia
315,Philippines,Southeast Asia
316,Philippines,Southeast Asia
317,Philippines,Southeast Asia
318,Philippines,Southeast Asia
319,Philippines,Southeast Asia
320,Philippines,Southeast Asia
321,Philippines,Southeast Asia
322,Philippines,Southeast Asia
323,Philippines,Southeast Asia
324,Philippines,Southeast Asia
325,Philippines,Southeast Asia
326,Philippines,Southeast Asia
327,Philippines,Southeast Asia
328,Philippines,Southeast Asia
329,Philippines,Southeast Asia
330,Philippines,Southeast Asia
331,Philippines,Southeast Asia
332,Philippines,Southeast Asia
333,Philippines,Southeast Asia
334,Philippines,Southeast Asia
335,Philippines,Southeast Asia
336,Philippines,Southeast Asia
337,Philippines,Southeast Asia
338,Philippines,Southeast Asia
339,Philippines,Southeast Asia
340,Philippines,Southeast Asia
341,Philippines,Southeast Asia
342,Philippines,Southeast Asia
343,Philippines,Southeast Asia
344,Philippines,Southeast Asia
345,Philippines,Southeast Asia
346,Philippines,Southeast Asia
347,Philippines,Southeast Asia
348,Philippines,Southeast Asia
349,Philippines,Southeast Asia
350,Philippines,Southeast Asia
351,Philippines,Southeast Asia
352,Philippines,Southeast Asia
353,Philippines,Southeast Asia
354,Philippines,Southeast Asia
355,Philippines,Southeast Asia
356,Philippines,Southeast Asia
357,Philippines,Southeast Asia
358,Philippines,Southeast Asia
359,Philippines,Southeast Asia
360,Philippines,Southeast Asia
361,Philippines,Southeast Asia
362,Philippines,Southeast Asia
363,Philippines,Southeast Asia
364,Philippines,Southeast Asia
365,Philippines,Southeast Asia
366,Philippines,Southeast Asia
367,Philippines,Southeast Asia
368,Philippines,Southeast Asia
369,Philippines,Southeast Asia
370,Philippines,Southeast Asia
371,Philippines,Southeast Asia
372,Philippines,Southeast Asia
373,Philippines,Southeast Asia
374,Philippines,Southeast Asia
375,Philippines,Southeast Asia
376,Philippines,Southeast Asia
377,Philippines,Southeast Asia
378,Philippines,Southeast Asia
379,Philippines,Southeast Asia
380,Philippines,Southeast Asia
381,Philippines,Southeast Asia
382,Philippines,Southeast Asia
383,Philippines,Southeast Asia
384,Philippines,Southeast Asia
385,Philippines,Southeast Asia
386,Philippines,Southeast Asia
387,Philippines,Southeast Asia
388,Philippines,Southeast Asia
389,Philippines,Southeast Asia
390,Philippines,Southeast Asia
391,Philippines,Southeast Asia
392,Philippines,Southeast Asia
393,Philippines,Southeast Asia
394,Philippines,Southeast Asia
395,Philippines,Southeast Asia
396,Philippines,Southeast Asia
397,Philippines,Southeast Asia
398,Philippines,Southeast Asia
399,Philippines,Southeast Asia
400,Philippines,Southeast Asia
401,Philippines,Southeast Asia
402,Philippines,Southeast Asia
403,Philippines,Southeast Asia
404,Philippines,Southeast Asia
405,Philippines,Southeast Asia
406,Philippines,Southeast Asia
407,Philippines,Southeast Asia
408,Philippines,Southeast Asia
409,Philippines,Southeast Asia
410,Philippines,Southeast Asia
411,Philippines,Southeast Asia
412,Philippines,Southeast Asia
413,Philippines,Southeast Asia
414,Philippines,Southeast Asia
415,Indonesia,Southeast Asia
416,Indonesia,Southeast Asia
417,Indonesia,Southeast Asia
418,Indonesia,Southeast Asia
419,Indonesia,Southeast Asia
420,Indonesia,Southeast Asia
421,Indonesia,Southeast Asia
422,Indonesia,Southeast Asia
423,Thailand,Southeast Asia
424,Thailand,Southeast Asia
425,Vietnam,Southeast Asia
426,Vietnam,Southeast Asia
427,Vietnam,Southeast Asia
428,Vietnam,Southeast Asia
429,Vietnam,Southeast Asia
430,Vietnam,Southeast Asia
431,Vietnam,Southeast Asia
432,Vietnam,Southeast Asia
433,Vietnam,Southeast Asia
434,Vietnam,Southeast Asia
435,Philippines,Southeast Asia
436,Philippines,Southeast Asia
437,Vietnam,Southeast Asia
438,Vietnam,Southeast Asia
439,Vietnam,Southeast Asia
440,Vietnam,Southeast Asia
441,Vietnam,Southeast Asia
442,Vietnam,Southeast Asia
443,Vietnam,Southeast Asia
444,Vietnam,Southeast Asia
445,Vietnam,Southeast Asia
446,Vietnam,Southeast Asia
447,Vietnam,Southeast Asia
448,Vietnam,Southeast Asia
449,Vietnam,Southeast Asia
450,Vietnam,Southeast Asia
451,Vietnam,Southeast Asia
452,Vietnam,Southeast Asia
453,Vietnam,Southeast Asia
454,Vietnam,Southeast Asia
455,Vietnam,Southeast Asia
456,Vietnam,Southeast Asia
457,Vietnam,Southeast Asia
458,Vietnam,Southeast Asia
459,Vietnam,Southeast Asia
460,Vietnam,Southeast Asia
461,Vietnam,Southeast Asia
462,Malaysia,Southeast Asia
463,Malaysia,Southeast Asia
464,Malaysia,Southeast Asia
465,Malaysia,Southeast Asia
466,Malaysia,Southeast Asia
467,Malaysia,Southeast Asia
468,Malaysia,Southeast Asia
469,Malaysia,Southeast Asia
470,Malaysia,Southeast Asia
471,Malaysia,Southeast Asia
472,Malaysia,Southeast Asia
473,Malaysia,Southeast Asia
474,Malaysia,Southeast Asia
475,Malaysia,Southeast Asia
476,Malaysia,Southeast Asia
477,Malaysia,Southeast Asia
478,Malaysia,Southeast Asia
479,Malaysia,Southeast Asia
480,Malaysia,Southeast Asia
481,Malaysia,Southeast Asia
482,Malaysia,Southeast Asia
483,Malaysia,Southeast Asia
484,Malaysia,Southeast Asia
485,Malaysia,Southeast Asia
486,Malaysia,Southeast Asia
487,Malaysia,Southeast Asia
488,Malaysia,Southeast Asia
489,Malaysia,Southeast Asia
490,Malaysia,Southeast Asia
491,Malaysia,Southeast Asia
492,Malaysia,Southeast Asia
493,Malaysia,Southeast Asia
494,Malaysia,Southeast Asia
495,Malaysia,Southeast Asia
496,Malaysia,Southeast Asia
497,Malaysia,Southeast Asia
498,Malaysia,Southeast Asia
499,Malaysia,Southeast Asia
500,Malaysia,Southeast Asia
501,Malaysia,Southeast Asia
502,Malaysia,Southeast Asia
503,Malaysia,Southeast Asia
504,Malaysia,Southeast Asia
505,Malaysia,Southeast Asia
506,Malaysia,Southeast Asia
507,Malaysia,Southeast Asia
508,Malaysia,Southeast Asia
509,Malaysia,Southeast Asia
510,Malaysia,Southeast Asia
511,Malaysia,Southeast Asia
512,Malaysia,Southeast Asia
513,Malaysia,Southeast Asia
514,Malaysia,Southeast Asia
515,Malaysia,Southeast Asia
516,Malaysia,Southeast Asia
517,Malaysia,Southeast Asia
518,Malaysia,Southeast Asia
519,Malaysia,Southeast Asia
520,Malaysia,Southeast Asia
521,Malaysia,Southeast Asia
522,Malaysia,Southeast Asia
523,Malaysia,Southeast Asia
524,Malaysia,Southeast Asia
525,Malaysia,Southeast Asia
526,Malaysia,Southeast Asia
527,Malaysia,Southeast Asia
528,Malaysia,Southeast Asia
529,Malaysia,Southeast Asia
530,Malaysia,Southeast Asia
531,Malaysia,Southeast Asia
